gameId:19  gameName:American Champion
name:P63 Perimeter+3Lines:"1111111111111111000111111" num:22
name:P64 Perimeter+3Lines:"1111110001111111111111111" num:22
name:P65 Perimeter+X:"1111111011101011101111111" num:21
name:P66 Perimeter+T:"1111110101101011010111111" num:21
name:P67 Perimeter+Diagonal:"1111111001101011001111111" num:19
name:P68 Perimeter+Diagonal:"1111110011101011100111111" num:19
name:P69 Perimeter+3Lines+T:"1111111111101011010111111" num:19
name:P70 Perimeter+3Lines+T:"1111110101111111010111111" num:19
name:P71 Perimeter+3Lines+T:"1111110101101011111111111" num:19
name:P72 (Perimeter+3Lines+T/X/Diagonal)/(Perimeter+3Lines+T+X)/(Perimeter+3Lines+T+Diagonal):"1111111111101011111111111" num:23
name:P73 Perimeter+3Lines+T:"1111111111111111010111111" num:22
name:P74 Perimeter+3Lines+T:"1111110101111111111111111" num:22
name:P75 Perimeter+3Lines+X:"1111111111101011101111111" num:22
name:P76 Perimeter+3Lines+X:"1111111011111111101111111" num:23
name:P77 Perimeter+3Lines+X:"1111111011101011111111111" num:22
name:P78 Perimeter+3Lines+X:"1111111111111111101111111" num:24
name:P79 Perimeter+3Lines+X:"1111111011111111111111111" num:24
name:P80 Perimeter+3Lines+Diagonal:"1111111111101011001111111" num:21
name:P81 Perimeter+3Lines+Diagonal:"1111111001111111001111111" num:21
name:P82 Perimeter+3Lines+Diagonal:"1111111001101011111111111" num:21
name:P83 Perimeter+3Lines+Diagonal:"1111111111111111001111111" num:23
name:P84 Perimeter+3Lines+Diagonal:"1111111001111111111111111" num:23
name:P85 Perimeter+3Lines+Diagonal:"1111111111101011100111111" num:21
name:P86 Perimeter+3Lines+Diagonal:"1111110011111111100111111" num:21
name:P87 Perimeter+3Lines+Diagonal:"1111110011101011111111111" num:21
name:P88 Perimeter+3Lines+Diagonal:"1111111111111111100111111" num:23
name:P89 Perimeter+3Lines+Diagonal:"1111110011111111111111111" num:23
name:P90 Perimeter+T+Diagonal:"1111111101101011011111111" num:21
name:P91 Perimeter+T+Diagonal:"1111110111101011110111111" num:21
name:P92 Perimeter+3Lines+T+Diagonal:"1111111111101011011111111" num:22
name:P93 Perimeter+3Lines+T+Diagonal:"1111111101111111011111111" num:23
name:P94 Perimeter+3Lines+T+Diagonal:"1111111101101011111111111" num:22
name:P95 Perimeter+3Lines+T+Diagonal:"1111111111111111011111111" num:24
name:P96 Perimeter+3Lines+T+Diagonal:"1111111101111111111111111" num:24
name:P97 Perimeter+3Lines+T+Diagonal:"1111111111101011110111111" num:22
name:P98 Perimeter+3Lines+T+Diagonal:"1111110111111111110111111" num:23
name:P99 Perimeter+3Lines+T+Diagonal:"1111110111101011111111111" num:22
name:P100 Perimeter+3Lines+T+Diagonal:"1111111111111111110111111" num:24
name:P101 Perimeter+3Lines+T+Diagonal:"1111110111111111111111111" num:24
name:P102 3Lines+X:"1000101010111111111111111" num:19
name:P103 3Lines+X:"1000111111001001111111111" num:18
name:P104 3Lines+X:"1000111111111110101011111" num:19
name:P105 3Lines+X:"1000111111111111111110001" num:19
name:P106 3Lines+X:"1111101010001001111111111" num:18
name:P107 3Lines+X:"1111101010111110101011111" num:19
name:P108 3Lines+X:"1111101010111111111110001" num:19
name:P109 3Lines+X:"1111111111001000101011111" num:18
name:P110 3Lines+X:"1111111111001001111110001" num:18



