], Pattern [name=letter_H+letter_N+letter_K+two_line, alias=P416, format=1001011111110101011011111, value=308, r=0, weight=0.0, is_eb=false, formatCode=19917535, sunNum=18
], Pattern [name=letter_P+letter_I+three_line+two_line+two_line+two_line, alias=P461, format=1111111010110111111111100, value=274, r=0, weight=0.0, is_eb=false, formatCode=33386492, sunNum=20
], Pattern [name=letter_C+letter_I+three_line+two_line+two_line+two_line, alias=P462, format=1111111000110111111111110, value=274, r=0, weight=0.0, is_eb=false, formatCode=33320958, sunNum=20
], Pattern [name=letter_C+letter_I+three_line+two_line+two_line+two_line, alias=P463, format=1111011000110111111111111, value=274, r=0, weight=0.0, is_eb=false, formatCode=32272383, sunNum=20
], Pattern [name=letter_H+letter_N+three_line+two_line+two_line+two_line, alias=P464, format=1001011010110111111111111, value=274, r=0, weight=0.0, is_eb=false, formatCode=19755007, sunNum=19
], Pattern [name=letter_H+letter_K+three_line+two_line+two_line+two_line, alias=P465, format=1001010110110111111111111, value=274, r=0, weight=0.0, is_eb=false, formatCode=19623935, sunNum=19
], Pattern [name=letter_P+letter_I+three_line+two_line+two_line+two_line, alias=P466, format=1111111111110111100011100, value=274, r=0, weight=0.0, is_eb=false, formatCode=33550108, sunNum=19
], Pattern [name=letter_P+letter_K+three_line+two_line+two_line+two_line, alias=P467, format=1111111111110111010010010, value=274, r=0, weight=0.0, is_eb=false, formatCode=33549970, sunNum=18
], Pattern [name=letter_P+letter_C+three_line+two_line+two_line+two_line, alias=P468, format=1111111111110111000011110, value=274, r=0, weight=0.0, is_eb=false, formatCode=33549854, sunNum=19
], Pattern [name=letter_P+letter_C+three_line+two_line+two_line+two_line, alias=P469, format=1111011111110111000011111, value=274, r=0, weight=0.0, is_eb=false, formatCode=32501279, sunNum=19
], Pattern [name=#+letter_I+square+two_line, alias=P470, format=1111011111010101111111110, value=268, r=0, weight=0.0, is_eb=false, formatCode=32484350, sunNum=20
], Pattern [name=letter_P+letter_I+chess+square+cross+two_line+four_corners, alias=P471, format=1111111110110111111011101, value=255, r=0, weight=0.0, is_eb=false, formatCode=33517533, sunNum=21
], Pattern [name=perimeter, alias=P472, format=1111110001100011000111111, value=250, r=1, weight=0.0, is_eb=true, formatCode=33080895, sunNum=16
], Pattern [name=#+three_line+square+cross+two_line+two_line+two_line, alias=P473, format=00000111011111110111111101110, value=244, r=0, weight=0.0, is_eb=false, formatCode=15724526, sunNum=20
], Pattern [name=#+three_line+square+two_line+two_line+two_line+four_corners, alias=P474, format=1111111111010101111111011, value=236, r=0, weight=0.0, is_eb=false, formatCode=33532923, sunNum=21
], Pattern [name=#+three_line+square+two_line+two_line+two_line+four_corners, alias=P475, format=1101111111010101111111111, value=236, r=0, weight=0.0, is_eb=false, formatCode=29338623, sunNum=21
], Pattern [name=letter_H+letter_N+chess+two_line+four_corners, alias=P476, format=1011111010110111111110111, value=235, r=0, weight=0.0, is_eb=false, formatCode=24997879, sunNum=20
], Pattern [name=letter_P+letter_I+chess+two_line+four_corners, alias=P477, format=1111111010110111101011101, value=235, r=0, weight=0.0, is_eb=false, formatCode=33386333, sunNum=19
], Pattern [name=letter_C+letter_I+chess+two_line+four_corners, alias=P478, format=1111111010110011101011111, value=235, r=0, weight=0.0, is_eb=false, formatCode=33384287, sunNum=19
], Pattern [name=letter_H+letter_N+chess+two_line+four_corners, alias=P479, format=1011111010110111111011111, value=235, r=0, weight=0.0, is_eb=false, formatCode=24997855, sunNum=20
], Pattern [name=#+three_line+square+two_line+two_line+two_line, alias=P480, format=1111111111010101111101010, value=234, r=0, weight=0.0, is_eb=false, formatCode=33532906, sunNum=19
], Pattern [name=#+three_line+square+two_line+two_line+two_line, alias=P481, format=00000101011111010101111111111, value=234, r=0, weight=0.0, is_eb=false, formatCode=11512831, sunNum=19
], Pattern [name=#+three_line+square+two_line+two_line+two_line, alias=P482, format=00000101011111110111111101010, value=234, r=0, weight=0.0, is_eb=false, formatCode=11530218, sunNum=18
], Pattern [name=letter_P+letter_I+square+cross+two_line, alias=P483, format=1111011110110111111111100, value=228, r=0, weight=0.0, is_eb=false, formatCode=32468988, sunNum=20
], Pattern [name=letter_P+letter_I+square+cross+two_line, alias=P484, format=1111111110110111111011100, value=228, r=0, weight=0.0, is_eb=false, formatCode=33517532, sunNum=20
], Pattern [name=letter_P+letter_I+square+cross+two_line, alias=P485, format=1111011111110111111011100, value=228, r=0, weight=0.0, is_eb=false, formatCode=32501724, sunNum=20
], Pattern [name=letter_H+letter_N+chess+four_corners, alias=P486, format=1011111010110111111010111, value=227, r=0, weight=0.0, is_eb=false, formatCode=24997847, sunNum=19
], Pattern [name=letter_P+letter_I+square+two_line+four_corners, alias=P487, format=1111111110110101111111101, value=220, r=0, weight=0.0, is_eb=false, formatCode=33516541, sunNum=21
], Pattern [name=letter_P+letter_I+square+two_line+four_corners, alias=P488, format=1111111111110101111011101, value=220, r=0, weight=0.0, is_eb=false, formatCode=33549277, sunNum=21
], Pattern [name=letter_P+letter_I+square+cross, alias=P489, format=1111011110110111111011100, value=220, r=0, weight=0.0, is_eb=false, formatCode=32468956, sunNum=19
], Pattern [name=letter_P+letter_I+cross+two_line+four_corners, alias=P490, format=1111111110110111110011101, value=220, r=0, weight=0.0, is_eb=false, formatCode=33517469, sunNum=20
], Pattern [name=letter_H+letter_K+cross+two_line+four_corners, alias=P491, format=1011110110110111111110111, value=220, r=0, weight=0.0, is_eb=false, formatCode=24866807, sunNum=20
], Pattern [name=letter_P+letter_K+cross+two_line+four_corners, alias=P492, format=1111110110110111010010111, value=220, r=0, weight=0.0, is_eb=false, formatCode=33255063, sunNum=18
], Pattern [name=letter_H+letter_K+cross+two_line+four_corners, alias=P493, format=1011110110110111011011111, value=220, r=0, weight=0.0, is_eb=false, formatCode=24866527, sunNum=19
], Pattern [name=letter_I+three_line+chess+square+cross+two_line+two_line+two_line, alias=P494, format=1110111111110110111011111, value=219, r=0, weight=0.0, is_eb=false, formatCode=31452639, sunNum=21
], Pattern [name=letter_I+three_line+chess+square+cross+two_line+two_line+two_line, alias=P495, format=1111111111110110111011101, value=219, r=0, weight=0.0, is_eb=false, formatCode=33549789, sunNum=21
], Pattern [name=letter_I+three_line+chess+square+cross+two_line+two_line+two_line, alias=P496, format=1111101110110110111011111, value=219, r=0, weight=0.0, is_eb=false, formatCode=32992735, sunNum=20
], Pattern [name=letter_P+three_line+chess+square+cross+two_line+two_line+two_line, alias=P497, format=1111111110110111111110101, value=219, r=0, weight=0.0, is_eb=false, formatCode=33517557, sunNum=21
], Pattern [name=letter_I+three_line+chess+square+cross+two_line+two_line+two_line, alias=P498, format=1111101110110111111111101, value=219, r=0, weight=0.0, is_eb=false, formatCode=32993277, sunNum=21
], Pattern [name=letter_I+three_line+chess+square+cross+two_line+two_line+two_line, alias=P499, format=1110111111110111111111101, value=219, r=0, weight=0.0, is_eb=false, formatCode=31453181, sunNum=22
], Pattern [name=letter_I+three_line+chess+square+cross+two_line+two_line+two_line, alias=P500, format=1110101110110111111111111, value=219, r=0, weight=0.0, is_eb=false, formatCode=30896127, sunNum=21
], Pattern [name=letter_P+three_line+chess+square+cross+two_line+two_line+two_line, alias=P501, format=1111111111110111111010101, value=219, r=0, weight=0.0, is_eb=false, formatCode=33550293, sunNum=21
], Pattern [name=letter_P+letter_I+square+two_line, alias=P502, format=1111111110110101111111100, value=218, r=0, weight=0.0, is_eb=false, formatCode=33516540, sunNum=20
], Pattern [name=letter_P+letter_I+square+two_line, alias=P503, format=1111011111110101111111100, value=218, r=0, weight=0.0, is_eb=false, formatCode=32500732, sunNum=20
], Pattern [name=letter_P+letter_I+square+two_line, alias=P504, format=1111111111110101111011100, value=218, r=0, weight=0.0, is_eb=false, formatCode=33549276, sunNum=20
], Pattern [name=letter_C+letter_K+cross+two_line, alias=P505, format=1111010100110111111111110, value=218, r=0, weight=0.0, is_eb=false, formatCode=32141310, sunNum=19
], Pattern [name=letter_P+letter_I+cross+two_line, alias=P506, format=1111111110110111110011100, value=218, r=0, weight=0.0, is_eb=false, formatCode=33517468, sunNum=19
], Pattern [name=letter_P+letter_I+cross+two_line, alias=P507, format=1111011111110111110011100, value=218, r=0, weight=0.0, is_eb=false, formatCode=32501660, sunNum=19
], Pattern [name=letter_H+letter_K+cross+two_line, alias=P508, format=1011010110110111111110110, value=218, r=0, weight=0.0, is_eb=false, formatCode=23818230, sunNum=18
], Pattern [name=letter_C+letter_K+cross+two_line, alias=P509, format=1111110100110111010011110, value=218, r=0, weight=0.0, is_eb=false, formatCode=33189534, sunNum=17
], Pattern [name=letter_P+letter_K+cross+two_line, alias=P510, format=1111110110110111010010110, value=218, r=0, weight=0.0, is_eb=false, formatCode=33255062, sunNum=17
], Pattern [name=letter_C+letter_K+cross+two_line, alias=P511, format=1111010100110111010011111, value=218, r=0, weight=0.0, is_eb=false, formatCode=32140959, sunNum=17
], Pattern [name=letter_P+letter_K+cross+two_line, alias=P512, format=1111011111110111010010110, value=218, r=0, weight=0.0, is_eb=false, formatCode=32501398, sunNum=18
], Pattern [name=letter_H+letter_K+cross+two_line, alias=P513, format=1011010110110111011011111, value=218, r=0, weight=0.0, is_eb=false, formatCode=23817951, sunNum=18
], Pattern [name=letter_P+letter_I+square+four_corners, alias=P514, format=1111111110110101111011101, value=212, r=0, weight=0.0, is_eb=false, formatCode=33516509, sunNum=20
], Pattern [name=letter_H+letter_K+cross+four_corners, alias=P515, format=1011110110110111011010111, value=212, r=0, weight=0.0, is_eb=false, formatCode=24866519, sunNum=18
], Pattern [name=letter_P+letter_I+two_line+four_corners, alias=P516, format=1111111010110101111111101, value=210, r=0, weight=0.0, is_eb=false, formatCode=33385469, sunNum=20
], Pattern [name=letter_P+letter_I+square, alias=P517, format=1111011110110101111011100, value=210, r=0, weight=0.0, is_eb=false, formatCode=32467932, sunNum=18
], Pattern [name=letter_H+letter_N+two_line+four_corners, alias=P518, format=1001111010110101111111111, value=210, r=0, weight=0.0, is_eb=false, formatCode=20802559, sunNum=19
], Pattern [name=letter_H+letter_K+two_line+four_corners, alias=P519, format=1001110110110101111111111, value=210, r=0, weight=0.0, is_eb=false, formatCode=20671487, sunNum=19
], Pattern [name=letter_P+letter_I+two_line+four_corners, alias=P520, format=1111111111110101100011101, value=210, r=0, weight=0.0, is_eb=false, formatCode=33549085, sunNum=19
], Pattern [name=letter_C+letter_I+two_line+four_corners, alias=P521, format=1111111000110001100011111, value=210, r=0, weight=0.0, is_eb=false, formatCode=33317663, sunNum=16
], Pattern [name=letter_C+letter_K+two_line+four_corners, alias=P522, format=1111110100110001010011111, value=210, r=0, weight=0.0, is_eb=false, formatCode=33186463, sunNum=16
], Pattern [name=letter_P+letter_K+two_line+four_corners, alias=P523, format=1111111111110101010010011, value=210, r=0, weight=0.0, is_eb=false, formatCode=33548947, sunNum=18
], Pattern [name=letter_P+letter_C+two_line+four_corners, alias=P524, format=1111110010110101000011111, value=210, r=0, weight=0.0, is_eb=false, formatCode=33122847, sunNum=16
], Pattern [name=letter_P+letter_I+cross, alias=P525, format=1111011110110111110011100, value=210, r=0, weight=0.0, is_eb=false, formatCode=32468892, sunNum=18
], Pattern [name=letter_H+letter_K+two_line+four_corners, alias=P526, format=1001110110110111111110011, value=210, r=0, weight=0.0, is_eb=false, formatCode=20672499, sunNum=18
], Pattern [name=letter_H+letter_N+two_line+four_corners, alias=P527, format=1001111010110111111110011, value=210, r=0, weight=0.0, is_eb=false, formatCode=20803571, sunNum=18
], Pattern [name=letter_P+letter_I+two_line+four_corners, alias=P528, format=1111111010110111100011101, value=210, r=0, weight=0.0, is_eb=false, formatCode=33386269, sunNum=18
], Pattern [name=letter_P+letter_K+two_line+four_corners, alias=P529, format=1111110110110111010010011, value=210, r=0, weight=0.0, is_eb=false, formatCode=33255059, sunNum=17
], Pattern [name=letter_C+letter_K+cross, alias=P530, format=1111010100110111010011110, value=210, r=0, weight=0.0, is_eb=false, formatCode=32140958, sunNum=16
], Pattern [name=letter_P+letter_K+cross, alias=P531, format=1111010110110111010010110, value=210, r=0, weight=0.0, is_eb=false, formatCode=32206486, sunNum=16
], Pattern [name=letter_H+letter_K+cross, alias=P532, format=1011010110110111011010110, value=210, r=0, weight=0.0, is_eb=false, formatCode=23817942, sunNum=16
], Pattern [name=letter_H+letter_N+two_line+four_corners, alias=P533, format=1001111010110111011011111, value=210, r=0, weight=0.0, is_eb=false, formatCode=20803295, sunNum=18
], Pattern [name=letter_H+letter_K+two_line+four_corners, alias=P534, format=1001110110110111011011111, value=210, r=0, weight=0.0, is_eb=false, formatCode=20672223, sunNum=18
], Pattern [name=letter_P+letter_I+two_line, alias=P535, format=1111111010110101111111100, value=208, r=0, weight=0.0, is_eb=false, formatCode=33385468, sunNum=19
], Pattern [name=letter_C+letter_I+two_line, alias=P536, format=1111111000110001111111110, value=208, r=0, weight=0.0, is_eb=false, formatCode=33317886, sunNum=18
], Pattern [name=letter_C+letter_K+two_line, alias=P537, format=1111110100110001111111110, value=208, r=0, weight=0.0, is_eb=false, formatCode=33186814, sunNum=18
], Pattern [name=letter_C+letter_I+two_line, alias=P538, format=1111011000110001111111111, value=208, r=0, weight=0.0, is_eb=false, formatCode=32269311, sunNum=18
], Pattern [name=letter_C+letter_K+two_line, alias=P539, format=1111010100110001111111111, value=208, r=0, weight=0.0, is_eb=false, formatCode=32138239, sunNum=18
], Pattern [name=letter_H+letter_N+two_line, alias=P540, format=1001011010110101111111111, value=208, r=0, weight=0.0, is_eb=false, formatCode=19753983, sunNum=18
], Pattern [name=letter_H+letter_K+two_line, alias=P541, format=1001010110110101111111111, value=208, r=0, weight=0.0, is_eb=false, formatCode=19622911, sunNum=18
], Pattern [name=letter_C+letter_I+two_line, alias=P542, format=1111111111110001100011110, value=208, r=0, weight=0.0, is_eb=false, formatCode=33547038, sunNum=18
], Pattern [name=letter_P+letter_I+two_line, alias=P543, format=1111111111110101100011100, value=208, r=0, weight=0.0, is_eb=false, formatCode=33549084, sunNum=18
], Pattern [name=letter_C+letter_I+two_line, alias=P544, format=1111011111110001100011111, value=208, r=0, weight=0.0, is_eb=false, formatCode=32498463, sunNum=18
], Pattern [name=letter_C+letter_K+two_line, alias=P545, format=1111111111110001010011110, value=208, r=0, weight=0.0, is_eb=false, formatCode=33546910, sunNum=18
], Pattern [name=letter_P+letter_K+two_line, alias=P546, format=1111111111110101010010010, value=208, r=0, weight=0.0, is_eb=false, formatCode=33548946, sunNum=17
], Pattern [name=letter_C+letter_K+two_line, alias=P547, format=1111011111110001010011111, value=208, r=0, weight=0.0, is_eb=false, formatCode=32498335, sunNum=18
], Pattern [name=letter_P+letter_C+two_line, alias=P548, format=1111111111110101000011110, value=208, r=0, weight=0.0, is_eb=false, formatCode=33548830, sunNum=18
], Pattern [name=letter_P+letter_C+two_line, alias=P549, format=1111011111110101000011111, value=208, r=0, weight=0.0, is_eb=false, formatCode=32500255, sunNum=18
], Pattern [name=letter_P+letter_I+two_line, alias=P550, format=1111011010110111111111100, value=208, r=0, weight=0.0, is_eb=false, formatCode=32337916, sunNum=19
], Pattern [name=letter_C+letter_I+two_line, alias=P551, format=1111011000110111111111110, value=208, r=0, weight=0.0, is_eb=false, formatCode=32272382, sunNum=19
], Pattern [name=letter_H+letter_K+two_line, alias=P552, format=1001010110110111111110010, value=208, r=0, weight=0.0, is_eb=false, formatCode=19623922, sunNum=16
], Pattern [name=letter_H+letter_N+two_line, alias=P553, format=1001011010110111111110010, value=208, r=0, weight=0.0, is_eb=false, formatCode=19754994, sunNum=16
], Pattern [name=letter_P+letter_I+two_line, alias=P554, format=1111111010110111100011100, value=208, r=0, weight=0.0, is_eb=false, formatCode=33386268, sunNum=17
], Pattern [name=letter_C+letter_I+two_line, alias=P555, format=1111111000110111100011110, value=208, r=0, weight=0.0, is_eb=false, formatCode=33320734, sunNum=17
], Pattern [name=letter_P+letter_I+two_line, alias=P556, format=1111011111110111100011100, value=208, r=0, weight=0.0, is_eb=false, formatCode=32501532, sunNum=18
], Pattern [name=letter_C+letter_I+two_line, alias=P557, format=1111011000110111100011111, value=208, r=0, weight=0.0, is_eb=false, formatCode=32272159, sunNum=17
], Pattern [name=letter_P+letter_K+two_line, alias=P558, format=1111110110110111010010010, value=208, r=0, weight=0.0, is_eb=false, formatCode=33255058, sunNum=16
], Pattern [name=letter_P+letter_K+two_line, alias=P559, format=1111011111110111010010010, value=208, r=0, weight=0.0, is_eb=false, formatCode=32501394, sunNum=17
], Pattern [name=letter_P+letter_C+two_line, alias=P560, format=1111110010110111000011110, value=208, r=0, weight=0.0, is_eb=false, formatCode=33123870, sunNum=16
], Pattern [name=letter_P+letter_C+two_line, alias=P561, format=1111011111110111000011110, value=208, r=0, weight=0.0, is_eb=false, formatCode=32501278, sunNum=18
], Pattern [name=letter_H+letter_N+two_line, alias=P562, format=1001011010110111011011111, value=208, r=0, weight=0.0, is_eb=false, formatCode=19754719, sunNum=17
], Pattern [name=letter_H+letter_K+two_line, alias=P563, format=1001010110110111011011111, value=208, r=0, weight=0.0, is_eb=false, formatCode=19623647, sunNum=17
], Pattern [name=letter_P+letter_C+two_line, alias=P564, format=1111010010110111000011111, value=208, r=0, weight=0.0, is_eb=false, formatCode=32075295, sunNum=16
], Pattern [name=letter_P+letter_I+four_corners, alias=P565, format=1111111010110101100011101, value=202, r=0, weight=0.0, is_eb=false, formatCode=33385245, sunNum=17
], Pattern [name=letter_P+letter_K+four_corners, alias=P566, format=1111110110110101010010011, value=202, r=0, weight=0.0, is_eb=false, formatCode=33254035, sunNum=16
], Pattern [name=letter_H+letter_K+four_corners, alias=P567, format=1001110110110101011010011, value=202, r=0, weight=0.0, is_eb=false, formatCode=20671187, sunNum=15
], Pattern [name=letter_H+letter_N+four_corners, alias=P568, format=1001111010110101011010011, value=202, r=0, weight=0.0, is_eb=false, formatCode=20802259, sunNum=15
], Pattern [name=letter_I+three_line+chess+two_line+two_line+two_line+four_corners, alias=P569, format=1110111111110110101011111, value=201, r=0, weight=0.0, is_eb=false, formatCode=31452511, sunNum=20
], Pattern [name=letter_I+three_line+chess+two_line+two_line+two_line+four_corners, alias=P570, format=1111111111110010101011111, value=201, r=0, weight=0.0, is_eb=false, formatCode=33547615, sunNum=20
], Pattern [name=letter_I+three_line+chess+two_line+two_line+two_line+four_corners, alias=P571, format=1111111111110110101011101, value=201, r=0, weight=0.0, is_eb=false, formatCode=33549661, sunNum=20
], Pattern [name=letter_I+three_line+chess+two_line+two_line+two_line+four_corners, alias=P572, format=1111101010110110101011111, value=201, r=0, weight=0.0, is_eb=false, formatCode=32861535, sunNum=18
], Pattern [name=letter_C+three_line+chess+two_line+two_line+two_line+four_corners, alias=P573, format=1111111010100011111111111, value=201, r=0, weight=0.0, is_eb=false, formatCode=33376255, sunNum=20
], Pattern [name=letter_I+three_line+chess+two_line+two_line+two_line+four_corners, alias=P574, format=1111111111110011111111101, value=201, r=0, weight=0.0, is_eb=false, formatCode=33548285, sunNum=22
], Pattern [name=letter_P+three_line+chess+two_line+two_line+two_line+four_corners, alias=P575, format=1111111010110111111110101, value=201, r=0, weight=0.0, is_eb=false, formatCode=33386485, sunNum=20
], Pattern [name=letter_I+three_line+chess+two_line+two_line+two_line+four_corners, alias=P576, format=1111101010110111111111101, value=201, r=0, weight=0.0, is_eb=false, formatCode=32862205, sunNum=20
], Pattern [name=letter_K+three_line+chess+two_line+two_line+two_line+four_corners, alias=P577, format=1111111111110011111110111, value=201, r=0, weight=0.0, is_eb=false, formatCode=33548279, sunNum=22
